Title,Author,Edition,Reviews,Ratings,Synopsis,Genre,BookCategory
Get Strong: The Ultimate 16-Week Transformation Program For gaining Muscle And Strength -- Using the Power of Progressive Calisthenics,Al Kavadlo,"Paperback,– 1 Jun 2018",4.5 out of 5 stars,2 customer reviews,"How to Build a Better Body Fast
Where do you belong on the strength continuum? And where do you want to be?
Too often, we know what we should be doing to gain strength, but we lack direction, a plan, motivation and intelligent guidance to make appreciable gains over the long haul. We have no real goal, no proper focus and therefore underachievegoing nowhere with our strength
Get Strong is a guidebook for those who are dissatisfied with their current rate of progressand who want to effect lasting changes, fast.
Your great advantage with the Get Strong program is the intelligent realism of its plan.
While the Kavadlo brothers have achieved supreme feats of calisthenics strengthlike the one-arm pull up, the human flag and the back leverthey have also spent decades helping thousands of clients meet and often exceed their training goals.",Sports Training & Coaching (Books),Sports
The Box Man: A Novel (Vintage International),Kobo Abe,"Paperback,– 10 Jul 2001",3.0 out of 5 stars,1 customer review,"Kobo Abe, the internationally acclaimed author of Woman in the Dunes, combines wildly imaginative fantasies and naturalistic prose to create narratives reminiscent of the work of Kafka and Beckett.

In this eerie and evocative masterpiece, the nameless protagonist gives up his identity and the trappings of a normal life to live in a large cardboard box he wears over his head. Wandering the streets of Tokyo and scribbling madly on the interior walls of his box, he describes the world outside as he sees or perhaps imagines it, a tenuous reality that seems to include a mysterious rifleman determined to shoot him, a seductive young nurse, and a doctor who wants to become a box man himself. The Box Man is a marvel of sheer originality and a bizarrely fascinating fable about the very nature of identity.

Translated from the Japanese by E. Dale Saunders.",Humour (Books),Humour
EX...A Twisted love Story,Novoneel Chakraborty,"Paperback,– 18 Apr 2016",4.4 out of 5 stars,168 customer reviews,"Neel, the protagonist of this romance thriller book, has quit his boring job to cater to his passion of writing. This passion for writing literature takes this aspirant author to the Jaipur Literary Festival where he meets a lithe and enticing girl Nivrita, the commissioning editor of a leading publishing house. Nivrita claims to be his ex but Neel seems to remember nothing about this attractive temptress.
Lured by an offer that is hard to resist and the mystery that Nivrita embodies, Neel soon finds himself getting too close to the mysterious Nivrita, and farther apart from his live-in girlfriend Titiksha. Neel finds himself floating between dreams and reality where he soon begins to lose his own identity. He has to uncover the vagueness that is Nivrita, and salvage his love story with Titiksha when threads of his own sanity are falling apart.
The story is full of plot twists and keeps readers turning pages with its abruptness and complicacies. The story carries an immense measure of thrill and fear and is Navoneel Chakraborty’s fourth novel.
About the Author
Based in Mumbai, Navoneel Chakraborty is a famous bestselling author and a screenplay writer of some popular shows like Million Dollar Girl that runs on Channel V. Till date, he has written seven romantic thrillers, including the popular Stranger Trilogy.",Romance (Books),"Crime, Thriller & Mystery"
Orphan X (An Orphan X Thriller),Gregg Hurwitz,"Paperback,– 1 Sep 2016",4.2 out of 5 stars,16 customer reviews,"'Outstanding in every way' Lee Child
'The page turned of the season' The Times
____________
'Do you need my help?'
It was the first question he asked.
They called him when they had nowhere else to turn.
As a boy Evan Smoak was taken from an orphanage.
Raised and trained in a top secret programme, he was sent to bad places to do things the government denied ever happened.
Then he broke with the programme, using what he'd learned to vanish. Now he helps the desperate and deserving.
But someone's on his trail.

Someone who knows his past and believes that the boy once known as Orphan X must die . . .
____________

'Read this book. You will thank me later' David Baldacci
'A rival to reacher' The Independent

If you loved Orphan X, read the gripping follow-up The Nowhere Man and brand new sequel Out of the Dark!",Action & Adventure (Books),"Crime, Thriller & Mystery"
Fullmetal Alchemist (Fullmetal Alchemist: Fullmetal Edition),Hiromu Arakawa,"Hardcover,– 8 May 2018",5.0 out of 5 stars,1 customer review,"Alchemy tore the Elric brothers’ bodies apart. Can their bond make them whole again? A hardcover, deluxe collector’s edition of one of the most beloved manga and anime of all time! Fully remastered with an updated translation and completely fresh lettering, and presented with color pages on large-trimmed archival-quality paper, this gorgeous hardcover edition presents the timeless dark adventures of the Elric brothers as they were truly meant to be seen. Includes brand-new cover art, color inserts and behind-the-scenes character sketches from author Hiromu Arakawa! In an alchemical ritual gone wrong, Edward Elric lost his arm and his leg, and his brother Alphonse became nothing but a soul in a suit of armour. Equipped with mechanical “auto-mail” limbs, Edward becomes a state alchemist, seeking the one thing that can restore his and his brother’s bodies…the legendary Philosopher’s Stone.",Mangas,Comics & Mangas
Mindstorms,Seymour A. Papert,"Paperback,– 4 Aug 1993",4.0 out of 5 stars,1 customer review,"The book that started the computer revolution in schools

Computers have completely changed the way we teach children. We have Mindstorms to thank for that. In this book, pioneering computer scientist Seymour Papert uses the invention of LOGO, the first child-friendly programming language, to make the case for the value of teaching children with computers. Papert argues that children are more than capable of mastering computers, and that teaching computational processes like de-bugging in the classroom can change the way we learn everything else. He also shows that schools saturated with technology can actually improve socialization and interaction among students and between students and teachers.

Technology changes every day, but the basic ways that computers can help us learn remain. For thousands of teachers and parents who have sought creative ways to help children learn with computers, Mindstorms is their bible.",Developmental Psychology,"Computing, Internet & Digital Media"
Acoustic Guitar Playing: Grade 3 (Rgt Guitar Lessons),"Tony Skinner, Laurence Harwood","Paperback,– 1 Mar 2008",4.5 out of 5 stars,2 customer reviews,"This book is part of a series that forms an expertly structured and comprehensive method of studying acoustic guitar; it has been compiled by the Registry Of Guitar Tutors. This volume includes a valuable selection of interesting chords, scales, rhythm playing studies and fingerstyle pieces in a range of styles. There are also chapters on musical knowledge and accompaniment techniques, plus aural exercises to develop your musical abilities making it ideal for early stage and intermediate level players. The book is cleverly designed so that it can be used by both fingerstyle and plectrum players.",Music Books,"Arts, Film & Photography"
"Screw It, Let's Do It: Lessons In Life",Sir Richard Branson,"Paperback,– 2 Mar 2006",4.3 out of 5 stars,134 customer reviews,"Global entrepreneur Sir Richard Branson has built a business empire and made billions and is renowned for his approachability and ability to challenge and succeed against the odds. ""Screw It, Let's Do It"" reveals the lessons that have helped him through his business and personal life, like believing it can be done and that, if others disagree with you, try and try again until you achieve your goal; or that you must love what you do. These and other life lessons, with examples of how he learned them and how he's used them, are included in this candid and motivational book that will inspire you to make a difference in your everyday life.",Biographies & Autobiographies (Books),"Biographies, Diaries & True Accounts"
Cambridge International AS and A Level IT Coursebook with CD-ROM (Cambridge International Examinations),"Paul Long, Sarah Lawrey, Victoria Ellis","Paperback,– 4 Jan 2016",5.0 out of 5 stars,4 customer reviews,"This series is for the Cambridge International AS & A Level IT syllabus (9626) for examination from 2019. This coursebook provides a clear and comprehensive guide to assist students as they develop theoretical and practical IT skills. It contains detailed explanations of theoretical and practical concepts and tasks, with worked examples and exercises to consolidate knowledge. Practical tasks are offered throughout the book, with source files on the accompanying CD-ROM, to help students build and develop their practical knowledge.","Computing, Internet & Digital Media (Books)","Computing, Internet & Digital Media"
Head First Software Development,"Pilone, Dan, Miles, Russ","Paperback,– 2008",3.0 out of 5 stars,4 customer reviews,"Even the best developers have seen well-intentioned software projects fail often because the customer kept changing requirements and end users didn't know how to use the software you developed. Instead of surrendering to these common problems, let Head First Software Development guide you through the best practices of software development. Before you know it, those failed projects will be a thing of the past.

With its unique visually rich format, this book pulls together the hard lessons learned by expert software developers over the years. You will gain essential information about each step of the software development lifecycle requirements, design, coding, testing, implementing and maintenance and understand why and how different development processes work.

This book is for you if you are:

Tired of your customers assuming you're psychic. You will learn not only how to get good requirements but how to make sure you're always building the software that customers want (even when they're not sure themselves).
Wondering when the other 15 programmers you need to get your project done on time are going to show up. You will learn how some very simple scheduling and prioritizing will revolutionize your success rate in developing software
Confused about being rational, agile or a tester. You will learn not only about the various development methodologies out there but how to choose a solution that's right for your project
Confused because the way you ran your last project worked so well but failed miserably this time around. You will learn how to tackle each project individually, combine lessons you've learned on previous projects with cutting-edge development techniques and end up with great software on every project
Head First Software Development is here to help you learn in a way that your brain likes and you will have a blast along the way. Why pick up hundreds of boring books on the philosophy of this approach or the formal techniques required for that one? Stick with Head First Software Development and your projects will succeed like never before. Go on, get started you will learn and have fun. We promise.",Introductory & Beginning Programming,"Computing, Internet & Digital Media"
Piccadilly Jim (Everyman's Library P G WODEHOUSE),P.G. Wodehouse,"Hardcover,– 2 Sep 2004",4.6 out of 5 stars,5 customer reviews,"This sparkling story of transatlantic manners follows the fortunes of playboy Jimmy Crocker in England and America. When Jimmy falls for a girl in London and vows to reform himself as a result, the quest for love leads him to his Aunt Nesta’s house in New York, where his escapades involve impersonating himself and attempting to kidnap Nesta’s odious son Ogden – with the boy demanding a cut of the ransom money. A full flush of minor characters – pretentious poets, butlers, boxers, put-upon husbands and Wall Street businessmen – make the comedy crackle as only Wodehouse knew how.",Contemporary Fiction (Books),Humour
61 Hours: (Jack Reacher 14),Lee Child,"Paperback,– 2 Sep 2010",4.2 out of 5 stars,34 customer reviews,"GET READY FOR THE MOST EXCITING COUNT-DOWN OF YOUR LIFE

HOUR SIXTY-ONE
Icy winter in South Dakota. A bus skids and crashes in a gathering storm. On the back seat: Jack Reacher, hitching a ride to nowhere. A life without baggage has many advantages. And disadvantages too, like facing the arctic cold without a coat.

HOUR THIRTY-ONE
A small town is threatened by sinister forces. One brave woman is standing up for justice.If she's going to live to testify, she'll need help from a man like Reacher.Because there's a killercoming for her.

HOUR ZERO
Has Reacher finally met his match? He doesn't want to put the world to rights. He just doesn't like people who put it to wrongs.

NOW READ THE SEQUEL: Although the Jack Reacher novels can be read in any order, the ending of 61 Hours is directly followed by Worth Dying For.",Action & Adventure (Books),Action & Adventure
He-Man: The Eternity War Vol. 2 (He-Man and the Masters of the Universe),Dan Abnett,"Paperback,– 24 May 2016",5.0 out of 5 stars,2 customer reviews,"The war for Eternia reaches its epic conclusion!
 
The Eternity War seems all but over. Hordak has seized the full powers of Grayskull—now, nowhere in the universe is safe from his wrath. Only He-Man has the ability to stop him...but He-Man is no more. King Adam surrendered his power to save his people, and now the armies of Eternia march on a hopeless quest to battle a near-omnipotent opponent.
 
But elsewhere on Eternia, a strange partnership has formed between Adam’s sister, She-Ra, and his greatest enemy, Skeletor. Skeletor has a plan to turn Hordak’s own powers against him and free the universe from the threat of the Evil Horde.
 
But Skeletor is not known for his kind heart and generosity. If he has a plan to bring down Hordak, will it only serve to make Skeletor an even deadlier threat than Hordak ever was? And if He-Man is truly gone, who will be able to stand up to Skeletor when he is the ultimate power in the universe?
 
Writer Dan Abnett (EARTH 2: SOCIETY, AQUAMAN) and artist Pop Mhan (DC UNIVERSE VS. THE MASTERS OF THE UNIVERSE), along with He-Man’s Head Writer Rob David, turn the world of He-Man and the Masters of the Universe on its ear. Collects issues #7-15.",Plays (Books),Comics & Mangas
More Good Vibes Coloring Book (Coloring is Fun),Thaneeya McArdle,"Paperback,– 1 Mar 2017",4.5 out of 5 stars,2 customer reviews,"Colouring is great-but it's even better when you colour uplifting messages that brighten your mood and lift your spirits! Popular teacher and writer Thaneeya McArdle proves that that ""art is fun"" with infectious enthusiasm and a quirky sense of humor that make colouring a treat. Loaded with positive messages and motivating words, her amazing sequel to Good Vibes Coloring Book will take you to a happy place of patterning, shading and colouring.It includes handy guides to colouring techniques like patterning, combinations and shading. Guided Coloring Pages make colouring easy for beginners, with beautifully coloured examples and ready-to-use colour palettes. Perfect for decorating with all of your favourite colouring implements, each design is printed on one side only of archival-grade, acid-free, 200-year paper. Perforated pages detach easily for gifting or display. This book has earned the DO Magazine Artist Fair Trade Seal of Approval.","Handicrafts, Decorative Arts & Crafts (Books)",Humour
The Go Programming Language,Brian W. Kernighan,"Paperback,– 1 Feb 2016",3.2 out of 5 stars,32 customer reviews,"The book will quickly get students started using Go effectively from the beginning, and by the end, they will know how to use it well to write clear, idiomatic and efficient programs to solve real-world problems. They'll understand not just how to use its standard libraries, but how they work, and how to apply the same design techniques to their own projects.",Programming & Software Development (Books),"Computing, Internet & Digital Media"
The Man in the High Castle (Penguin Modern Classics),Philip K. Dick,"Paperback,– 6 Sep 2001",3.8 out of 5 stars,15 customer reviews,"A dazzling speculative novel of 'counterfactual history' from one of America's most highly-regarded science fiction authors, Philip K. Dick's The Man in the High Castle includes an introduction by Eric Brown in Penguin Modern Classics.
Philip K. Dick's acclaimed cult novel gives us a horrifying glimpse of an alternative world - one where the Allies have lost the Second World War. In this nightmare dystopia the Nazis have taken over New York, the Japanese control California and the African continent is virtually wiped out. In a neutral buffer zone in America that divides the world's new rival superpowers, lives the author of an underground bestseller. His book offers a new vision of reality - an alternative theory of world history in which the Axis powers were defeated - giving hope to the disenchanted. Does 'reality' lie with him, or is his world just one among many others?
Philip Kindred Dick (1928-82) was born in Chicago in 1928. His career as a science fiction writer comprised an early burst of short stories followed by a stream of novels, typically character studies incorporating androids, drugs, and hallucinations. His best works are generally agreed to be The Man in the High Castle and Do Androids Dream of Electric Sheep?, the inspiration for the movie Blade Runner.
If you enjoyed The Man in the High Castle, you might like Yevgeny Zamyatin's We, also available in Penguin Classics.
'The most brilliant science fiction mind on any planet'
Rolling Stone
'Dick's finest book, and one of the very best science fiction novels ever published'
Eric Brown","Crime, Thriller & Mystery (Books)","Crime, Thriller & Mystery"
Tintin in America,Herge,"Paperback,– 1 Jan 2013",4.7 out of 5 stars,36 customer reviews,Tintin travels to Chicago to report on the gangsters and comes face to face with dangerous criminals.,Comics & Mangas (Books),"Arts, Film & Photography"
The Games: A Global History of the Olympics,David Goldblatt,"Paperback,– 17 Jan 2018",4.0 out of 5 stars,1 customer review,"The Olympic Games have become the single greatest festival of a universal and cosmopolitan humanity. Seventeen days of sporting competition watched and followed on every continent and in every country on the planet. Simply, the greatest show on earth. Yet when the modern games were inaugurated in Athens in 1896, the founders thought them a ""display of manly virtue"", an athletic celebration of the kind of amateur gentleman that would rule the world. How was such a ritual invented? Why did it prosper and how has it been so utterly transformed? In The Games, David Goldblatt - winner of the 2015 William Hill Sports Book of the Year Award - takes on a breathtakingly ambitious search for the answers and brilliantly unravels the complex strands of this history. Beginning with the Olympics as a sporting side show at the great Worlds Fairs of the Belle Epoque and its transformation into a global media spectacular, care of Hollywood and the Nazi party, The Games shows how sport and the Olympics had been a battlefield during the Cold War, a defining moment for social and economic change in host cities and countries, and a theatre of resistance for women and athletes of colour once excluded from the show. Illuminated with dazzling vignettes from over a century of Olympic competition - this stunningly researched history captures the excitement of sporting brilliance and the kaleidoscopic experience of the Games. It shows us how this sporting spectacle has come to reflect the world we hope to inhabit and the one we actually live in.",History (Books),Sports
English for Everyone Practice Book - Level 3 Intermediate,DK,"Paperback,– 4 Oct 2016",3.0 out of 5 stars,1 customer review,"English for Everyone is an exciting and comprehensive self-study course for adults learning English as a foreign language. This course is a unique new series with a visual, engaging and easy to follow style to make the English language easy to learn.

Learn English by reinforcing key language skills, grammar rules and vocabulary with listening, speaking, reading and writing exercises. This unique course is easy to use, starting at beginner level and working up to advanced English to help you grow in confidence as you learn. This Level 1 Beginner's guide introduces topics such as jobs and routines, leisure activities and the home.

Audio material is provided at every stage through the English For Everyone website and Android/iOS apps to provide vital experience of spoken English and make even tricky phrases easy to understand. Perfect for personal study or to support exams including TOEFL and IELTS, English for Everyone is suitable for all levels of English language learners.",Encyclopaedias & Reference Works (Books),"Language, Linguistics & Writing"
Naruto 01,Masashi Kishimoto,"Paperback,– Box set, 9 Jul 2003",4.8 out of 5 stars,15 customer reviews,"Naruto is a ninja-in-training with a need for attention, a knack for mischief and, sealed within him, a strange, formidable power.

R to L (Japanese Style).

Naruto is a ninja-in-training with a need for attention, a knack for mischief and, sealed within him, a strange, formidable power. His antics amuse his instructor Kakashi and irritate his teammates, intense Sasuke and witty Sakura, but Naruto is serious about becoming the greatest ninja in the village of Konohagakure! Believe it!",Mangas,Comics & Mangas
101 Things I Learned® in Urban Design School,Matthew Frederick,"Hardcover,– 25 Jun 2018",5.0 out of 5 stars,3 customer reviews,"Providing unique, accessible lessons on urban design, this title in the bestselling 101 Things I Learned® series is a perfect resource for students, recent graduates, general readers, and even seasoned professionals.
 
Students of urban design often find themselves lost between books that are either highly academic or overly formulaic, leaving them with few tangible tools to use in their design projects. 101 Things I Learned® in Urban Design School fills this void with provocative, practical lessons on urban space, street types, pedestrian experience, managing the design process, the psychological, social, cultural, and economic ramifications of physical design decisions, and more. Written by two experienced practitioners and instructors, this informative book will appeal not only to students, but to seasoned professionals, planners, city administrators, and ordinary citizens who wish to better understand their built world.",Design,"Arts, Film & Photography"
OCEJWCD Study Companion: OCE Java EE Web Component Developer (Certification Study Guide),Charles Lyons,"Paperback,– 2013",3.8 out of 5 stars,9 customer reviews,"This book is a study guide for any candidate preparing for the new Java EE Web Component Developer exam (Oracle Exam 1ZO-899) . It contains the theory behind how the web container works and important notes, hints and tips on the types of ‘trick’ questions to look for in the exam. By combining logical and easy-to-follow discussions with clear visual aids and diagrams, you will learn how the container works and by the end of the book, you'll be wondering why servlets, JSPs and tag libraries seemed so complicated before. By combining the theory taught in this book with practical experience, you will not only succeed in passing the exam, but will be so confident that you are able to solve problems and draw-up solutions ‘on the job’.",Software Architecture,"Computing, Internet & Digital Media"
Pele: The Autobiography,Pelé,"Paperback,– 8 May 2007",4.6 out of 5 stars,11 customer reviews,"The legend. In his own words.

From the poverty-stricken streets of Sao Paulo to an international icon and one of the most celebrated footballers of all time, Pele's life story is as extraordinary as it is enrapturing. With his trademark wit and deference, the legend draws us into a wonderful story lit by insight and humour and encompassing everything you ever wanted to know about the great man himself.

From shining shoes for extra pennies at the Baru Athletic Club to triumph in several World Cups, the glory of being on top of the world -- and staying there -- is shared in what is undoubtedly one of the must-read autobiographies of the year. On top of his athletic achievements, Pele has also been a staunch campaigner for human rights and in particular the plight of street children in his home country, leading to an appointment as a UN Ambassador and an honorary knighthood from the British monarchy.

By turns addictive, moving and enlightening, this is the ultimate story of the rise of a star and an amazing testimony to how even the lowliest of society's people can reach the dizzying heights of worldwide adoration and success.",Biographies & Autobiographies (Books),Sports
Mother Tongue,Bill Bryson,"Paperback,– 5 Oct 2016",4.0 out of 5 stars,8 customer reviews,"More than 300 million people in the world speak English and the rest, it sometimes seems, try to...'

Only Bill Bryson could make a book about the English language so entertaining. With his boundless enthusiasm and restless eye for the absurd, this is his astonishing tour of English. From its mongrel origins to its status as the world's most-spoken tongue; its apparent simplicity to its deceptive complexity; its vibrant swearing to its uncertain spelling and pronunciation, Bryson covers all this as well as the many curious eccentricities that make it as maddening to learn as it is flexible to use.

Bill Bryson's classic Mother Tongue is a highly readable and hilarious tale of how English came to be the world's language.",Linguistics (Books),"Language, Linguistics & Writing"
Indra Nooyi - A Biography,Annapoorna,"Paperback,– 2013",4.2 out of 5 stars,76 customer reviews,"Indra Nooyi is an inspiring figure. She holds out hope for all young women, especially those from developing countries. After all, her journey started in India back in the 1950s and 60s. She hailed from a middle-class family in Chennai and dared to dream big at a time when women's career choices were still mainly limited to secretary and teacher posts.
Indra Nooyi: A Biography chronicles the life of this corporate achiever. Indra Nooyi earned her management degree from IIM, Calcutta and was later accepted at the Yale School of Management. After completing her Master's Degree in Public and Private Management in 1980, she joined the Boston Consulting Group. She joined PepsiCo in 1994 and since then, her rise has been meteoric. She became the company's CFO and led the strategic acquisition of Tropicana and the merger with the Quaker Oats Company. These initiatives added a line of health food products to a company that has traditionally been associated with fun food.
The book traces her life from the early years in Chennai, to her struggles to establish herself in the corporate world. It follows her journey from the times she moved to the US, got married and continued her steady rise till her current position as the CEO of the second largest food-and-beverage company in the world. Indra Nooyi: A Biography was published by Rajpal as a paperback in 2013.
Key Features:
The author has used interviews, profiles and write-ups available in public forums to chronicle the life of this interesting personality.
Indra Nooyi: A Biography pieces together information from different sources to highlight the vital roles played by Indra Nooyi's mother and later her husband and children in her life.",Biographies & Autobiographies (Books),"Biographies, Diaries & True Accounts"
"Yoga for Pregnancy, Birth and Beyond",Francoise Barbira Freedman,"Paperback,– 3 Jun 2004",4.0 out of 5 stars,2 customer reviews,"Enhance your experience of pregnancy and birth with the meditative power of yoga. Step-by-step yoga postures specially adapted for each trimester, relaxation techniques and simple breathing exercises will show you how to adjust to the physical demands of labour and give birth with minimum strain. From conception to birth, help develop shared wellbeing, with the only guide to identify the real advantages of yoga for mother and baby.",Healthy Living & Wellness (Books),Sports
Know About Newton (Know About Series),Maple Press,"Paperback,– 24 Mar 2015",4.3 out of 5 stars,7 customer reviews,"Sir Isaac Newton was an English physicist and mathematician (described in his own day as a ""natural philosopher"") who is widely recognized as one of the most influential scientists of all time and as a key figure in the scientific revolution. His book Philosophic Naturalis Principia Mathematica (""Mathematical Principles of Natural Philosophy""), first published in 1687, laid the foundations for classical mechanics. Newton made seminal contributions to optics and he shares credit with Gottfried Leibniz for the development of calculus.

The human inquisitiveness is so wide that it would take centuries to explore the facts of the world. However, this series tries to achieve the impossible by presenting you almost all you ever wanted to know. The reader can surf through the collection and gather all information about famed personalities, countries, languages, professions, computers, health and fitness, sports, quotations, world, traveling destinations, musical instruments, hobbies, spiritual teachings, health disorders, history, etc.",Children's Reference (Books),"Biographies, Diaries & True Accounts"
Ultimates - Volume 1,Mark Millar,"Paperback,– ADPCM, 12 Apr 2006",3.5 out of 5 stars,2 customer reviews,"Nick Fury, head of an elite espionage agency, puts together a small army, known as the Ultimates, to protect the world from a variety of threats.",Comics & Mangas (Books),Comics & Mangas
Sultan of Delhi: Ascension,Arnab Ray,"Paperback,– 20 Nov 2016",4.3 out of 5 stars,66 customer reviews,"When a path is forged in blood, it is hard to find peace.
The son of a penniless refugee from Lahore, Arjun Bhatia has worked his way up from being an arms smuggler in the badlands of Uttar Pradesh to the most influential power-broker in Delhi.
But when the shadows of the past – of a friend he has lost forever and of a woman he can never be with – finally catch up to him, Arjun finds himself fighting the biggest battle of his life. For at stake is not just his iron hold over the government, but something even greater – his family...and his soul.
Spanning five decades and two generations, Sultan of Delhi: Ascension is an explosive saga of ambition, greed, love and passion.","Crime, Thriller & Mystery (Books)","Crime, Thriller & Mystery"
Foundations of Indian Political Thought: An Interpretation - From Manu to the Present Day,V. R. Mehta,"Paperback,– Import, 1 Jul 1996",3.3 out of 5 stars,25 customer reviews,"Foundations of Indian Political Thought: An Interpretation - From Manu to the Present Day describes the evolution of political philosophy in the country from the beginning to what it is today. It is a book that is designed for those who have an interest in politics, the social sciences and for those who are keen to know our country's history.
The book traces the growth of Indian political thought, right from its roots to the structure it has acquired in the present day. Political philosophy had its origin in ancient times, where a clear demarcation was made between nation and the state and religion and the state. Gradually, states began to evolve based on political treaties and social institutions. These states were divided into governance, administration, defense and law and order on the basis of the duties they performed for the citizens. The offices of institutions were presided over by the King, the Prime Minister, the commander in chief of army and the chief priest of the King.
Foundations of Indian Political Thought: An Interpretation - From Manu to the Present Day covers the complexities of Indian political philosophy, discussing about ancient societies and the laws that governed them, to how they have shaped the political structure of the present day scenario. It elaborates the theories of all the major political thinkers such as Manu and Kausalya, to the political theorists of today. The book can be used as a point of reference by teachers, students and all those connected with the social sciences.
It was published in 1996 by Manoah Publications and is available in paperback.",Politics (Books),Politics
"Miraculous: Tales of Ladybug and Cat Noir (Miraculous, Tales of Lady Bug & Cat Noir)",ZAG Entertainment,"Paperback,– 9 Aug 2016",4.0 out of 5 stars,1 customer review,"WINNER OF A 2018 TEEN CHOICE AWARD FOR BEST ANIMATED SERIES! Marinette is the sweetest girl in Paris. With a big crush on a boy at school, a big dream of becoming a fashion designer, and a big problem with being totally awkward, she's just your average teenage girl, right? Did we mention she's also the crime fighting superhero, Ladybug? Becoming Ladybug is a complicated process! First, Marinette needs a ""Kwami,"" which is a tiny magical assistant (hers is named Tikki). She also needs a ""Miraculous,"" which is a magical accessory (hers is a pair of earrings). Tikki uses the Miraculous to transform Marinette. But her Ladybug super powers only work for a limited time! When Hawk Moth uses his mind-controlling, moth-like creatures called akuma to turn people into baddies, it's up to Ladybug to capture them and save the day! Well, she gets a little help from her superhero friend, Cat Noir... but she insists she doesn't need him. If only she knew Cat Noir's true identity - her crush, Adrien! Will Ladybug and Cat Noir be able to balance their double lives and keep Paris safe? Will they ever find out each other's true identity, or who's behind Hawk Moth's mask? Until then - there's a whole city of baddies to defeat... SPOTS ON, CLAWS OUT!",Comics & Mangas (Books),Comics & Mangas
The Proper Study Of Mankind: An Anthology of Essays (Vintage Classics),Isaiah Berlin,"Paperback,– 4 Jul 2013",5.0 out of 5 stars,1 customer review,"‘He becomes everyman’s guide to everything exciting in the history of ideas’ New York Review of Books

Isaiah Berlin was one of the leading thinkers of the twentieth century, and one of the finest writers. The Proper Study Of Mankind selects some of his best essays in which his insights both illuminate the past and offer a key to the burning issues of today.

The full (and enormous) range of his work is represented here, from the exposition of his most distinctive doctrine - pluralism - to studies of Machiavelli, Tolstoy, Churchill and Roosevelt. In these pages he encapsulates the principal movements that characterise the modern age: romanticism, historicism, Fascism, relativism, irrationalism and nationalism. His ideas are always tied to the people who conceived them, so that abstractions are brought alive.

EDITED BY HENRY HARDY AND ROGER HAUSHEER AND WITH A NEW FOREWORD BY ANDREW MARR",Political Ideologies (Books),Politics
Heart and Brain: Gut Instincts: An Awkward Yeti Collection,Nick Seluk,"Paperback,– 18 Oct 2016",5.0 out of 5 stars,8 customer reviews,"Fans of Poorly Drawn Lines, Liz Climo, Randall Munroe, and The Oatmeal will love this riotous collection marking the return of optimistic Heart and analytical Brain with over 60 brand-new, never-before-seen comics.

Vigorously demanded and highly anticipated, Heart and Brain: Gut Instincts is the follow-up to the tremendously popular New York Times bestseller, Heart and Brain: An Awkward Yeti Collection.

The Awkward Yeti's Heart and Brain comics perfectly illustrate the ongoing, internal struggle betwixt head and heart.

Heart and Brain: Gut Instincts features the same lovable characters as the first book and introduces a host of other vital organs like insatiable Tongue, irritable Bowels, and abused Stomach.",Comics & Graphic Novels (Books),Comics & Mangas
No Ball,Chandramohan Puppala,"Paperback,– 25 Apr 2019",4.5 out of 5 stars,2 customer reviews,"Whispers, and then some progressively loud murmurs! Match fixing and illegal betting had begun to pervade the Cricketing world. In 2000, when the much respected South African skipper, hansie cronje, was found guilty of match fixing soon after a trail of stars fell after the another. Prominent cricketers from India, South Africa, Kenya, England, Sri Lanka, West Indies, Pakistan, came out as fixers over the next decade. Life bans were handed out like sixes on no balls! The scandal really hit home in 2013, when spot-fixing allegations in the Indian premier League resulted in the ouster of Indian and Rajasthan royals bowler sreesanth, along with two other players. This incident threw open the murky underworld connection – quite literally – in Indian cricket. For the first time, journalist chandramohan puppala traces cricket's biggest corruption back to the kingpin Dawood Ibrahim himself. Based on transcripts of police-recorded conversations and unpublished information about the players at the key of the storm, including some of India's biggest names, no ball is a revealing account of the rot at the heart of Indian cricket.",Cricket (Books),Sports
The Journey Home,Radhanath Swami,"Paperback,– 25 May 2013",4.8 out of 5 stars,210 customer reviews,"The Journey Home is an exhilarating autobiographical account of Radhanath Swami, a chicago born Gaudiya Vaishnava guru. The book rightly portrays the truly amazing spiritual journey made by the author exploring his inner self. Filled with real life experiences of swami, the book can inspire the readers to introspect.
Adopting a very simple yet captivating style of narration, The Journey Home explains to the readers the author’s transition from a 19 year old American Jew to a hindu monk. Throughout his journey, he seeks the real meaning of human life. The author's journey from West to East inturn is filled with many conflicting experiences that it emerges to be his exploration of his soul. With little money in hand, Swami travels for about 6 months to reach India through Turkey, Afghanistan, and Pakistan. The encounter with various cultures helps him realise his heart's calling.
The book also includes detailed accounts on swami's meeting with Srila Prabhupada and the subsequent transformations that happened in his life. The book can help the readers realise the purpose of humility and service in life. Spiritually engaging the readers, the book also includes episodes of swami's encounters with various gurus, hermits, and philosophers, from whom he rightly imbibes the true essence of divinity. The book gives mention to many spiritual leaders such as Dalai Lama and Mother Theresa, thus conveying the right message about the need to rise above the barriers of religion. Published in 2013 by Jaico Publishing House, the first edition of book is available as paperback.
Key Features:
The Journey Home is considered as one of the most widely acclaimed autobiographical account of a spiritual leader.
The popularity of the book was so immense that many international media including the Fox news and Huffington post had featured special reviews about it.",Biographies & Autobiographies (Books),"Biographies, Diaries & True Accounts"
